"X","Indicator","Data.Source","PUBLISH.STATES","Year","WHO.region","Country","Sex","Display.Value","Numeric","Low","High","Comments"
399,"Children aged <5 years underweight (%)","NLIS_313074","Published",2009,"South-East Asia","Democratic People's Republic of Korea","Male",18.8,18.8,NA,NA,NA
400,"Children aged <5 years underweight (%)","NLIS_313076","Published",2010,"Africa","United Republic of Tanzania","Female",14.6,14.6,NA,NA,NA
401,"Children aged <5 years underweight (%)","NLIS_313082","Published",2009,"Europe","Georgia","Female",1,1,NA,NA,NA
402,"Children aged <5 years underweight (%)","NLIS_313083","Published",2006,"Western Pacific","Malaysia","Female",12.7,12.7,NA,NA,NA
403,"Children aged <5 years underweight (%)","NLIS_313086","Published",2007,"Africa","Angola","Male",16.6,16.6,NA,NA,NA
407,"Children aged <5 years underweight (%)","NLIS_313092","Published",2008,"Africa","Botswana","Male",12.1,12.1,NA,NA,NA
409,"Children aged <5 years underweight (%)","NLIS_313095","Published",2008,"Africa","Mozambique","Female",16,16,NA,NA,NA
410,"Children aged <5 years underweight (%)","NLIS_313097","Published",2011,"Western Pacific","Cambodia","Male",28.8,28.8,NA,NA,NA
412,"Children aged <5 years underweight (%)","NLIS_313099","Published",2009,"Africa","Malawi","Female",11.3,11.3,NA,NA,NA
413,"Children aged <5 years underweight (%)","NLIS_313106","Published",2005,"Africa","South Africa","Female",9.6,9.6,NA,NA,NA
414,"Children aged <5 years underweight (%)","NLIS_313109","Published",2008,"South-East Asia","Timor-Leste","Male",52.5,52.5,NA,NA,NA
415,"Children aged <5 years underweight (%)","NLIS_313110","Published",2011,"Africa","Zimbabwe","Male",11.5,11.5,NA,NA,NA
417,"Children aged <5 years underweight (%)","NLIS_313112","Published",2008,"Americas","Panama","Male",2.8,2.8,NA,NA,NA
419,"Children aged <5 years underweight (%)","NLIS_313113","Published",2011,"Eastern Mediterranean","Pakistan","Male",31.4,31.4,NA,NA,NA
421,"Children aged <5 years underweight (%)","NLIS_313115","Published",2011,"Eastern Mediterranean","Morocco","Female",3.1,3.1,NA,NA,NA
423,"Children aged <5 years underweight (%)","NLIS_313122","Published",2006,"Africa","Central African Republic","Female",25.4,25.4,NA,NA,NA
425,"Children aged <5 years underweight (%)","NLIS_313126","Published",2012,"Eastern Mediterranean","Djibouti","Female",28.5,28.5,NA,NA,NA
426,"Children aged <5 years underweight (%)","NLIS_313127","Published",1999,"Americas","Uruguay","Female",4.2,4.2,NA,NA,NA
427,"Children aged <5 years underweight (%)","NLIS_313127","Published",2003,"Americas","Uruguay","Male",6.5,6.5,NA,NA,NA
428,"Children aged <5 years underweight (%)","NLIS_313127","Published",2011,"Americas","Uruguay","Female",4.2,4.2,NA,NA,NA
431,"Children aged <5 years underweight (%)","NLIS_313129","Published",2010,"Americas","Jamaica","Male",3.8,3.8,NA,NA,NA
433,"Children aged <5 years underweight (%)","NLIS_313131","Published",2011,"Africa","Uganda","Female",12.8,12.8,NA,NA,NA
434,"Children aged <5 years underweight (%)","NLIS_313134","Published",2010,"Africa","Sierra Leone","Male",22.6,22.6,NA,NA,NA
436,"Children aged <5 years underweight (%)","NLIS_313136","Published",2010,"Africa","Burkina Faso","Female",24.7,24.7,NA,NA,NA
437,"Children aged <5 years underweight (%)","NLIS_313139","Published",2012,"Americas","Mexico","Male",2.8,2.8,NA,NA,NA
439,"Children aged <5 years underweight (%)","NLIS_313141","Published",2012,"Africa","Senegal","Female",13.2,13.2,NA,NA,NA
440,"Children aged <5 years underweight (%)","NLIS_313143","Published",2011,"Western Pacific","Philippines","Male",20.1,20.1,NA,NA,NA
442,"Children aged <5 years underweight (%)","NLIS_313144","Published",2010,"Eastern Mediterranean","Kuwait","Female",1.5,1.5,NA,NA,NA
443,"Children aged <5 years underweight (%)","NLIS_310187","Published",1981,"Americas","Barbados","Male",5,5,NA,NA,NA
451,"Children aged <5 years underweight (%)","NLIS_310222","Published",1987,"Americas","Trinidad and Tobago","Male",4.7,4.7,NA,NA,NA
454,"Children aged <5 years underweight (%)","NLIS_310240","Published",1975,"Eastern Mediterranean","Tunisia","Male",15.5,15.5,NA,NA,NA
457,"Children aged <5 years underweight (%)","NLIS_310282","Published",1975,"South-East Asia","Nepal","Female",60.3,60.3,NA,NA,NA
459,"Children aged <5 years underweight (%)","NLIS_310309","Published",1987,"South-East Asia","Thailand","Male",18.7,18.7,NA,NA,NA
461,"Children aged <5 years underweight (%)","NLIS_310319","Published",1977,"Western Pacific","Singapore","Male",13.6,13.6,NA,NA,NA
464,"Children aged <5 years underweight (%)","NLIS_310363","Published",1992,"Americas","Peru","Female",7.9,7.9,NA,NA,NA
465,"Children aged <5 years underweight (%)","NLIS_310365","Published",1991,"Americas","Dominican Republic","Male",9.3,9.3,NA,NA,NA
467,"Children aged <5 years underweight (%)","NLIS_310375","Published",1991,"Africa","Cameroon","Male",17.6,17.6,NA,NA,NA
470,"Children aged <5 years underweight (%)","NLIS_310426","Published",1988,"Africa","Ghana","Female",23.4,23.4,NA,NA,NA
471,"Children aged <5 years underweight (%)","NLIS_310430","Published",1989,"Americas","Mexico","Male",14.6,14.6,NA,NA,NA
473,"Children aged <5 years underweight (%)","NLIS_310439","Published",1988,"Africa","Togo","Male",22.6,22.6,NA,NA,NA
474,"Children aged <5 years underweight (%)","NLIS_310441","Published",1987,"Eastern Mediterranean","Morocco","Female",13,13,NA,NA,NA
475,"Children aged <5 years underweight (%)","NLIS_310442","Published",1991,"Eastern Mediterranean","Egypt","Male",11.9,11.9,NA,NA,NA
476,"Children aged <5 years underweight (%)","NLIS_310444","Published",1990,"Africa","Mauritania","Male",44.6,44.6,NA,NA,NA
479,"Children aged <5 years underweight (%)","NLIS_310473","Published",1992,"Africa","United Republic of Tanzania","Female",23.3,23.3,NA,NA,NA
480,"Children aged <5 years underweight (%)","NLIS_310526","Published",1992,"Africa","Niger","Male",42.1,42.1,NA,NA,NA
482,"Children aged <5 years underweight (%)","NLIS_310537","Published",1991,"Eastern Mediterranean","Pakistan","Female",37.6,37.6,NA,NA,NA
483,"Children aged <5 years underweight (%)","NLIS_310561","Published",1992,"Eastern Mediterranean","Morocco","Male",8.4,8.4,NA,NA,NA
486,"Children aged <5 years underweight (%)","NLIS_310689","Published",1992,"Eastern Mediterranean","Yemen","Male",31.2,31.2,NA,NA,NA
488,"Children aged <5 years underweight (%)","NLIS_310750","Published",1992,"Africa","Algeria","Female",8.6,8.6,NA,NA,NA
490,"Children aged <5 years underweight (%)","NLIS_311002","Published",1993,"Africa","Kenya","Male",22.4,22.4,NA,NA,NA
495,"Children aged <5 years underweight (%)","NLIS_311359","Published",1994,"Americas","Bolivia (Plurinational State of)","Male",15.1,15.1,NA,NA,NA
497,"Children aged <5 years underweight (%)","NLIS_311408","Published",1993,"Eastern Mediterranean","Egypt","Female",7.9,7.9,NA,NA,NA
498,"Children aged <5 years underweight (%)","NLIS_311409","Published",1992,"Africa","Malawi","Male",26.3,26.3,NA,NA,NA
500,"Children aged <5 years underweight (%)","NLIS_311429","Published",1993,"Americas","Nicaragua","Female",8.9,8.9,NA,NA,NA
504,"Children aged <5 years underweight (%)","NLIS_311473","Published",1992,"Western Pacific","China","Female",14.6,14.6,NA,NA,NA
505,"Children aged <5 years underweight (%)","NLIS_311509","Published",1988,"Europe","Hungary","Female",1.6,1.6,NA,NA,NA
508,"Children aged <5 years underweight (%)","NLIS_311539","Published",1995,"Eastern Mediterranean","Tunisia","Male",8,8,NA,NA,NA
509,"Children aged <5 years underweight (%)","NLIS_311547","Published",1995,"Americas","Haiti","Male",25.3,25.3,NA,NA,NA
510,"Children aged <5 years underweight (%)","NLIS_311549","Published",1993,"South-East Asia","India","Female",48.8,48.8,NA,NA,NA
512,"Children aged <5 years underweight (%)","NLIS_311560","Published",1995,"Eastern Mediterranean","Oman","Female",6,6,NA,NA,NA
513,"Children aged <5 years underweight (%)","NLIS_311561","Published",1994,"Africa","Côte d'Ivoire","Male",23.7,23.7,NA,NA,NA
519,"Children aged <5 years underweight (%)","NLIS_311591","Published",1993,"Western Pacific","Viet Nam","Female",35.7,35.7,NA,NA,NA
520,"Children aged <5 years underweight (%)","NLIS_311604","Published",1994,"Americas","Jamaica","Male",5.4,5.4,NA,NA,NA
522,"Children aged <5 years underweight (%)","NLIS_311608","Published",1995,"Americas","Colombia","Female",5.5,5.5,NA,NA,NA
525,"Children aged <5 years underweight (%)","NLIS_311648","Published",1995,"Africa","Uganda","Female",19.4,19.4,NA,NA,NA
526,"Children aged <5 years underweight (%)","NLIS_311651","Published",1995,"Africa","Algeria","Male",12.2,12.2,NA,NA,NA
528,"Children aged <5 years underweight (%)","NLIS_311660","Published",1996,"Eastern Mediterranean","Lebanon","Male",3.8,3.8,NA,NA,NA
531,"Children aged <5 years underweight (%)","NLIS_311665","Published",1996,"Eastern Mediterranean","Egypt","Male",11.6,11.6,NA,NA,NA
533,"Children aged <5 years underweight (%)","NLIS_311674","Published",1995,"Europe","Kazakhstan","Female",5.1,5.1,NA,NA,NA
536,"Children aged <5 years underweight (%)","NLIS_311682","Published",1996,"Africa","Mali","Female",37.2,37.2,NA,NA,NA
538,"Children aged <5 years underweight (%)","NLIS_311706","Published",1996,"South-East Asia","Nepal","Male",43.3,43.3,NA,NA,NA
542,"Children aged <5 years underweight (%)","NLIS_311752","Published",1996,"Africa","United Republic of Tanzania","Female",25.3,25.3,NA,NA,NA
543,"Children aged <5 years underweight (%)","NLIS_311757","Published",1996,"Americas","Peru","Male",6.4,6.4,NA,NA,NA
545,"Children aged <5 years underweight (%)","NLIS_311759","Published",1997,"South-East Asia","Bangladesh","Female",53,53,NA,NA,NA
547,"Children aged <5 years underweight (%)","NLIS_311827","Published",1996,"Americas","Dominican Republic","Male",5.3,5.3,NA,NA,NA
551,"Children aged <5 years underweight (%)","NLIS_311837","Published",1997,"Africa","Chad","Female",32.8,32.8,NA,NA,NA
553,"Children aged <5 years underweight (%)","NLIS_311841","Published",1997,"Europe","Kyrgyzstan","Female",5.6,5.6,NA,NA,NA
554,"Children aged <5 years underweight (%)","NLIS_311853","Published",1997,"Africa","Mozambique","Male",30.8,30.8,NA,NA,NA
557,"Children aged <5 years underweight (%)","NLIS_311865","Published",1998,"Europe","Armenia","Female",2.6,2.6,NA,NA,NA
559,"Children aged <5 years underweight (%)","NLIS_311915","Published",1998,"Africa","Niger","Male",46,46,NA,NA,NA
560,"Children aged <5 years underweight (%)","NLIS_311918","Published",1998,"Americas","Nicaragua","Female",9.6,9.6,NA,NA,NA
563,"Children aged <5 years underweight (%)","NLIS_311931","Published",1994,"Eastern Mediterranean","Pakistan","Male",34.2,34.2,NA,NA,NA
567,"Children aged <5 years underweight (%)","NLIS_311993","Published",1998,"Africa","Kenya","Male",20,20,NA,NA,NA
569,"Children aged <5 years underweight (%)","NLIS_311996","Published",1998,"Europe","Turkey","Female",7.1,7.1,NA,NA,NA
571,"Children aged <5 years underweight (%)","NLIS_311998","Published",1999,"Europe","The former Yugoslav Republic of Macedonia","Female",1.6,1.6,NA,NA,NA
572,"Children aged <5 years underweight (%)","NLIS_311999","Published",1998,"South-East Asia","Maldives","Male",53.5,53.5,NA,NA,NA
573,"Children aged <5 years underweight (%)","NLIS_312017","Published",1999,"Western Pacific","Mongolia","Female",10.4,10.4,NA,NA,NA
576,"Children aged <5 years underweight (%)","NLIS_312045","Published",1995,"Americas","Jamaica","Female",2.9,2.9,NA,NA,NA
578,"Children aged <5 years underweight (%)","NLIS_312082","Published",1999,"Americas","Guatemala","Male",22.7,22.7,NA,NA,NA
580,"Children aged <5 years underweight (%)","NLIS_312086","Published",1996,"Western Pacific","Cambodia","Male",47,47,NA,NA,NA
582,"Children aged <5 years underweight (%)","NLIS_312108","Published",1999,"Americas","Mexico","Female",5.3,5.3,NA,NA,NA
584,"Children aged <5 years underweight (%)","NLIS_312137","Published",1999,"Africa","Burkina Faso","Female",32.2,32.2,NA,NA,NA
586,"Children aged <5 years underweight (%)","NLIS_312181","Published",1999,"Europe","Kazakhstan","Female",3.8,3.8,NA,NA,NA
587,"Children aged <5 years underweight (%)","NLIS_312182","Published",1999,"Africa","United Republic of Tanzania","Male",23.8,23.8,NA,NA,NA
589,"Children aged <5 years underweight (%)","NLIS_312191","Published",2000,"Africa","Niger","Female",42.4,42.4,NA,NA,NA
590,"Children aged <5 years underweight (%)","NLIS_312221","Published",2000,"Eastern Mediterranean","Egypt","Female",3.4,3.4,NA,NA,NA
591,"Children aged <5 years underweight (%)","NLIS_312226","Published",2000,"Africa","Algeria","Male",5.3,5.3,NA,NA,NA
592,"Children aged <5 years underweight (%)","NLIS_312244","Published",2000,"Europe","Azerbaijan","Male",13.2,13.2,NA,NA,NA
595,"Children aged <5 years underweight (%)","NLIS_312282","Published",2000,"Americas","Colombia","Male",4.9,4.9,NA,NA,NA
598,"Children aged <5 years underweight (%)","NLIS_312312","Published",2000,"Western Pacific","Cambodia","Female",38.6,38.6,NA,NA,NA
599,"Children aged <5 years underweight (%)","NLIS_312317","Published",1998,"Americas","Jamaica","Male",4.1,4.1,NA,NA,NA
601,"Children aged <5 years underweight (%)","NLIS_312319","Published",2001,"Africa","Mauritania","Female",28.2,28.2,NA,NA,NA
602,"Children aged <5 years underweight (%)","NLIS_312320","Published",2000,"Americas","Peru","Male",5.2,5.2,NA,NA,NA
604,"Children aged <5 years underweight (%)","NLIS_312328","Published",2000,"Africa","Gambia","Female",14.3,14.3,NA,NA,NA
605,"Children aged <5 years underweight (%)","NLIS_312344","Published",2001,"Europe","Armenia","Male",2.9,2.9,NA,NA,NA
607,"Children aged <5 years underweight (%)","NLIS_312352","Published",2000,"Americas","Suriname","Female",10.1,10.1,NA,NA,NA
608,"Children aged <5 years underweight (%)","NLIS_312353","Published",2000,"Africa","Botswana","Male",10.3,10.3,NA,NA,NA
610,"Children aged <5 years underweight (%)","NLIS_312356","Published",2000,"Americas","Dominican Republic","Female",2.9,2.9,NA,NA,NA
611,"Children aged <5 years underweight (%)","NLIS_312358","Published",2000,"Africa","Guinea-Bissau","Male",22.3,22.3,NA,NA,NA
613,"Children aged <5 years underweight (%)","NLIS_312360","Published",2000,"Africa","Burundi","Female",38.9,38.9,NA,NA,NA
614,"Children aged <5 years underweight (%)","NLIS_312361","Published",2000,"Europe","Albania","Male",19.6,19.6,NA,NA,NA
616,"Children aged <5 years underweight (%)","NLIS_312363","Published",2000,"Africa","Comoros","Female",21.9,21.9,NA,NA,NA
617,"Children aged <5 years underweight (%)","NLIS_312365","Published",2001,"Americas","Honduras","Male",13.1,13.1,NA,NA,NA
619,"Children aged <5 years underweight (%)","NLIS_312367","Published",2000,"Africa","Sierra Leone","Female",21.1,21.1,NA,NA,NA
620,"Children aged <5 years underweight (%)","NLIS_312368","Published",2000,"Africa","Senegal","Male",21.5,21.5,NA,NA,NA
623,"Children aged <5 years underweight (%)","NLIS_312371","Published",1998,"South-East Asia","Indonesia","Female",22.8,22.8,NA,NA,NA
624,"Children aged <5 years underweight (%)","NLIS_312371","Published",2000,"South-East Asia","Indonesia","Male",24.7,24.7,NA,NA,NA
629,"Children aged <5 years underweight (%)","NLIS_312388","Published",2001,"Americas","Nicaragua","Female",7.1,7.1,NA,NA,NA
630,"Children aged <5 years underweight (%)","NLIS_312394","Published",2000,"Africa","Sao Tome and Principe","Male",11.5,11.5,NA,NA,NA
632,"Children aged <5 years underweight (%)","NLIS_312414","Published",2000,"Eastern Mediterranean","Iraq","Female",11.9,11.9,NA,NA,NA
634,"Children aged <5 years underweight (%)","NLIS_312437","Published",2000,"Africa","Liberia","Female",17.7,17.7,NA,NA,NA
636,"Children aged <5 years underweight (%)","NLIS_312471","Published",2002,"South-East Asia","Democratic People's Republic of Korea","Female",16.2,16.2,NA,NA,NA
637,"Children aged <5 years underweight (%)","NLIS_312477","Published",2000,"Europe","Romania","Male",4.5,4.5,NA,NA,NA
639,"Children aged <5 years underweight (%)","NLIS_312481","Published",2006,"South-East Asia","Thailand","Male",6.9,6.9,NA,NA,NA
640,"Children aged <5 years underweight (%)","NLIS_312516","Published",2003,"Americas","El Salvador","Male",6.9,6.9,NA,NA,NA
642,"Children aged <5 years underweight (%)","NLIS_312523","Published",1997,"Eastern Mediterranean","Morocco","Female",7.2,7.2,NA,NA,NA
643,"Children aged <5 years underweight (%)","NLIS_312529","Published",2002,"South-East Asia","Timor-Leste","Male",43,43,NA,NA,NA
645,"Children aged <5 years underweight (%)","NLIS_312535","Published",2001,"South-East Asia","Indonesia","Female",20.3,20.3,NA,NA,NA
646,"Children aged <5 years underweight (%)","NLIS_312535","Published",2002,"South-East Asia","Indonesia","Male",25.2,25.2,NA,NA,NA
647,"Children aged <5 years underweight (%)","NLIS_312536","Published",2000,"Western Pacific","Singapore","Male",3.6,3.6,NA,NA,NA
649,"Children aged <5 years underweight (%)","NLIS_312558","Published",2002,"Americas","Guatemala","Male",18,18,NA,NA,NA
651,"Children aged <5 years underweight (%)","NLIS_312568","Published",2000,"Africa","Kenya","Male",19.6,19.6,NA,NA,NA
654,"Children aged <5 years underweight (%)","NLIS_312588","Published",2001,"Eastern Mediterranean","Pakistan","Female",31,31,NA,NA,NA
655,"Children aged <5 years underweight (%)","NLIS_312590","Published",2003,"Africa","Kenya","Male",19.3,19.3,NA,NA,NA
657,"Children aged <5 years underweight (%)","NLIS_312626","Published",2003,"Africa","Burkina Faso","Female",33.5,33.5,NA,NA,NA
658,"Children aged <5 years underweight (%)","NLIS_312627","Published",2003,"Eastern Mediterranean","Egypt","Male",10.2,10.2,NA,NA,NA
660,"Children aged <5 years underweight (%)","NLIS_312629","Published",2002,"Europe","Uzbekistan","Female",6.2,6.2,NA,NA,NA
661,"Children aged <5 years underweight (%)","NLIS_312640","Published",2002,"South-East Asia","Bangladesh","Male",43.1,43.1,NA,NA,NA
663,"Children aged <5 years underweight (%)","NLIS_312644","Published",2002,"Africa","Algeria","Female",9.6,9.6,NA,NA,NA
665,"Children aged <5 years underweight (%)","NLIS_312654","Published",2000,"South-East Asia","Myanmar","Female",28.5,28.5,NA,NA,NA
666,"Children aged <5 years underweight (%)","NLIS_312661","Published",2003,"South-East Asia","Myanmar","Male",31.1,31.1,NA,NA,NA
667,"Children aged <5 years underweight (%)","NLIS_312666","Published",2004,"Americas","Bolivia (Plurinational State of)","Female",5.7,5.7,NA,NA,NA
668,"Children aged <5 years underweight (%)","NLIS_312690","Published",2004,"Eastern Mediterranean","Morocco","Male",10.5,10.5,NA,NA,NA
670,"Children aged <5 years underweight (%)","NLIS_312698","Published",2004,"Africa","Cameroon","Female",15,15,NA,NA,NA
671,"Children aged <5 years underweight (%)","NLIS_312729","Published",2000,"Africa","Central African Republic","Male",24.1,24.1,NA,NA,NA
673,"Children aged <5 years underweight (%)","NLIS_312756","Published",2004,"Europe","The former Yugoslav Republic of Macedonia","Female",1.2,1.2,NA,NA,NA
674,"Children aged <5 years underweight (%)","NLIS_312757","Published",2000,"Africa","Equatorial Guinea","Male",16.8,16.8,NA,NA,NA
676,"Children aged <5 years underweight (%)","NLIS_312759","Published",2005,"Africa","Guinea","Female",20.6,20.6,NA,NA,NA
677,"Children aged <5 years underweight (%)","NLIS_312762","Published",2005,"Africa","Ethiopia","Male",36.5,36.5,NA,NA,NA
679,"Children aged <5 years underweight (%)","NLIS_312764","Published",2002,"Europe","Czech Republic","Female",1.6,1.6,NA,NA,NA
681,"Children aged <5 years underweight (%)","NLIS_312769","Published",2005,"Americas","Argentina","Male",2.4,2.4,NA,NA,NA
683,"Children aged <5 years underweight (%)","NLIS_312771","Published",2005,"Americas","Colombia","Female",4.7,4.7,NA,NA,NA
685,"Children aged <5 years underweight (%)","NLIS_312776","Published",2004,"Americas","Jamaica","Male",3.9,3.9,NA,NA,NA
686,"Children aged <5 years underweight (%)","NLIS_312778","Published",2002,"Americas","Uruguay","Female",4.9,4.9,NA,NA,NA
689,"Children aged <5 years underweight (%)","NLIS_312783","Published",2006,"Europe","Uzbekistan","Male",4.6,4.6,NA,NA,NA
690,"Children aged <5 years underweight (%)","NLIS_312785","Published",2005,"Europe","Armenia","Female",5.2,5.2,NA,NA,NA
691,"Children aged <5 years underweight (%)","NLIS_312788","Published",2005,"Europe","Republic of Moldova","Male",3,3,NA,NA,NA
693,"Children aged <5 years underweight (%)","NLIS_312790","Published",2006,"Africa","Zimbabwe","Female",12.9,12.9,NA,NA,NA
694,"Children aged <5 years underweight (%)","NLIS_312791","Published",2006,"South-East Asia","Nepal","Male",37.7,37.7,NA,NA,NA
696,"Children aged <5 years underweight (%)","NLIS_312793","Published",2006,"Africa","Niger","Female",37.5,37.5,NA,NA,NA
697,"Children aged <5 years underweight (%)","NLIS_312794","Published",2000,"South-East Asia","Indonesia","Female",23.8,23.8,NA,NA,NA
698,"Children aged <5 years underweight (%)","NLIS_312796","Published",2005,"South-East Asia","Indonesia","Male",26.9,26.9,NA,NA,NA
700,"Children aged <5 years underweight (%)","NLIS_312797","Published",2004,"South-East Asia","Indonesia","Male",20.7,20.7,NA,NA,NA
702,"Children aged <5 years underweight (%)","NLIS_312799","Published",2006,"South-East Asia","India","Female",43.9,43.9,NA,NA,NA
704,"Children aged <5 years underweight (%)","NLIS_312824","Published",2005,"Europe","Belarus","Male",1.5,1.5,NA,NA,NA
705,"Children aged <5 years underweight (%)","NLIS_312826","Published",2006,"Europe","Bosnia and Herzegovina","Female",1,1,NA,NA,NA
706,"Children aged <5 years underweight (%)","NLIS_312828","Published",1991,"South-East Asia","Bangladesh","Male",63.1,63.1,NA,NA,NA
708,"Children aged <5 years underweight (%)","NLIS_312832","Published",1993,"South-East Asia","Bangladesh","Female",58.9,58.9,NA,NA,NA
709,"Children aged <5 years underweight (%)","NLIS_312835","Published",1994,"South-East Asia","Bangladesh","Male",60.8,60.8,NA,NA,NA
711,"Children aged <5 years underweight (%)","NLIS_312839","Published",1996,"South-East Asia","Bangladesh","Female",56.9,56.9,NA,NA,NA
712,"Children aged <5 years underweight (%)","NLIS_312849","Published",2004,"South-East Asia","Bangladesh","Male",39.9,39.9,NA,NA,NA
714,"Children aged <5 years underweight (%)","NLIS_312851","Published",2006,"Europe","Serbia","Female",1.3,1.3,NA,NA,NA
715,"Children aged <5 years underweight (%)","NLIS_312852","Published",2006,"Eastern Mediterranean","Somalia","Male",34.2,34.2,NA,NA,NA
717,"Children aged <5 years underweight (%)","NLIS_312854","Published",2006,"Africa","Côte d'Ivoire","Female",14.4,14.4,NA,NA,NA
718,"Children aged <5 years underweight (%)","NLIS_312860","Published",2006,"Europe","Kazakhstan","Male",5.4,5.4,NA,NA,NA
719,"Children aged <5 years underweight (%)","NLIS_312862","Published",2005,"Europe","Tajikistan","Female",13.3,13.3,NA,NA,NA
720,"Children aged <5 years underweight (%)","NLIS_312867","Published",2005,"Africa","Sierra Leone","Male",30.7,30.7,NA,NA,NA
723,"Children aged <5 years underweight (%)","NLIS_312874","Published",2007,"Africa","Namibia","Male",18.5,18.5,NA,NA,NA
725,"Children aged <5 years underweight (%)","NLIS_312878","Published",2006,"South-East Asia","Bangladesh","Female",40.4,40.4,NA,NA,NA
727,"Children aged <5 years underweight (%)","NLIS_312883","Published",2006,"Africa","Ghana","Male",15.2,15.2,NA,NA,NA
728,"Children aged <5 years underweight (%)","NLIS_312885","Published",2006,"Africa","Uganda","Female",14.6,14.6,NA,NA,NA
729,"Children aged <5 years underweight (%)","NLIS_312887","Published",2007,"Americas","Guyana","Male",11.4,11.4,NA,NA,NA
731,"Children aged <5 years underweight (%)","NLIS_312889","Published",2005,"Europe","Georgia","Female",1.9,1.9,NA,NA,NA
732,"Children aged <5 years underweight (%)","NLIS_312890","Published",2006,"Africa","Malawi","Male",17.2,17.2,NA,NA,NA
734,"Children aged <5 years underweight (%)","NLIS_312893","Published",2007,"Africa","Zambia","Female",13,13,NA,NA,NA
735,"Children aged <5 years underweight (%)","NLIS_312895","Published",2007,"Africa","Mauritania","Male",23.6,23.6,NA,NA,NA
737,"Children aged <5 years underweight (%)","NLIS_312898","Published",2002,"Eastern Mediterranean","Djibouti","Female",23,23,NA,NA,NA
738,"Children aged <5 years underweight (%)","NLIS_312902","Published",2005,"Americas","Nicaragua","Male",5.3,5.3,NA,NA,NA
740,"Children aged <5 years underweight (%)","NLIS_312910","Published",2007,"Americas","Jamaica","Female",1.7,1.7,NA,NA,NA
741,"Children aged <5 years underweight (%)","NLIS_312913","Published",2004,"Eastern Mediterranean","Lebanon","Male",5.4,5.4,NA,NA,NA
743,"Children aged <5 years underweight (%)","NLIS_312916","Published",2007,"South-East Asia","Indonesia","Female",18.6,18.6,NA,NA,NA
744,"Children aged <5 years underweight (%)","NLIS_312917","Published",2009,"Americas","Guatemala","Male",13.9,13.9,NA,NA,NA
746,"Children aged <5 years underweight (%)","NLIS_312919","Published",2007,"Americas","Dominican Republic","Female",3.7,3.7,NA,NA,NA
747,"Children aged <5 years underweight (%)","NLIS_312921","Published",2006,"Western Pacific","Lao People's Democratic Republic","Male",32.5,32.5,NA,NA,NA
749,"Children aged <5 years underweight (%)","NLIS_312923","Published",2007,"Eastern Mediterranean","Libya","Female",4.8,4.8,NA,NA,NA
751,"Children aged <5 years underweight (%)","NLIS_312932","Published",2005,"Americas","Peru","Male",6,6,NA,NA,NA
752,"Children aged <5 years underweight (%)","NLIS_312939","Published",2006,"Europe","Germany","Female",1.3,1.3,NA,NA,NA
754,"Children aged <5 years underweight (%)","NLIS_312946","Published",2009,"Africa","Sao Tome and Principe","Female",12.3,12.3,NA,NA,NA
756,"Children aged <5 years underweight (%)","NLIS_312948","Published",2008,"Americas","Bolivia (Plurinational State of)","Female",4,4,NA,NA,NA
757,"Children aged <5 years underweight (%)","NLIS_312950","Published",2006,"Eastern Mediterranean","Djibouti","Male",32.1,32.1,NA,NA,NA
758,"Children aged <5 years underweight (%)","NLIS_312951","Published",2000,"Western Pacific","Viet Nam","Female",27.6,27.6,NA,NA,NA
759,"Children aged <5 years underweight (%)","NLIS_312951","Published",2002,"Western Pacific","Viet Nam","Male",23.9,23.9,NA,NA,NA
760,"Children aged <5 years underweight (%)","NLIS_312951","Published",2004,"Western Pacific","Viet Nam","Female",23.5,23.5,NA,NA,NA
761,"Children aged <5 years underweight (%)","NLIS_312951","Published",2005,"Western Pacific","Viet Nam","Male",22.9,22.9,NA,NA,NA
762,"Children aged <5 years underweight (%)","NLIS_312951","Published",2007,"Western Pacific","Viet Nam","Female",22,22,NA,NA,NA
763,"Children aged <5 years underweight (%)","NLIS_312951","Published",2008,"Western Pacific","Viet Nam","Male",20.5,20.5,NA,NA,NA
764,"Children aged <5 years underweight (%)","NLIS_312954","Published",2008,"Africa","Guinea","Male",21.9,21.9,NA,NA,NA
766,"Children aged <5 years underweight (%)","NLIS_312955","Published",2008,"Africa","Guinea-Bissau","Male",16.2,16.2,NA,NA,NA
767,"Children aged <5 years underweight (%)","NLIS_312963","Published",2008,"Africa","Ghana","Female",12.9,12.9,NA,NA,NA
768,"Children aged <5 years underweight (%)","NLIS_312965","Published",2005,"Africa","Algeria","Male",3.7,3.7,NA,NA,NA
770,"Children aged <5 years underweight (%)","NLIS_312971","Published",2008,"Africa","Sierra Leone","Female",18.5,18.5,NA,NA,NA
771,"Children aged <5 years underweight (%)","NLIS_312981","Published",1997,"Africa","Equatorial Guinea","Male",15.4,15.4,NA,NA,NA
773,"Children aged <5 years underweight (%)","NLIS_313003","Published",1990,"Western Pacific","China","Female",12.1,12.1,NA,NA,NA
774,"Children aged <5 years underweight (%)","NLIS_313005","Published",1998,"Western Pacific","China","Male",7.2,7.2,NA,NA,NA
776,"Children aged <5 years underweight (%)","NLIS_313007","Published",2005,"Western Pacific","China","Female",4.2,4.2,NA,NA,NA
