"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"CRMO2","","Crataegus mollis","Perennial","","","","","","","",""
"CRPE","","Crataegus pedicellata","Perennial","","","","","","","",""
"CRPE3","","Crataegus pennsylvanica","Perennial","","","","","","","",""
"CRPH","","Crataegus phaenopyrum","Perennial","Spring and Summer","Green","4.3","7.0","32","60","Intolerant","-33"
"CRPR2","","Crataegus pruinosa","Perennial","","","","","","","",""
"CRPU","","Crataegus punctata","Perennial","","","","","","","",""
"CRSC4","","Crataegus schuettei","Perennial","","","","","","","",""
"CRUN","","Crataegus uniflora","Perennial","","","","","","","",""
"CRVI2","","Crataegus viridis","Perennial","Spring and Summer","Yellow-Green","4.3","7.3","36","60","Intolerant","-24"
"CRVIV2","","Crataegus viridis var. viridis","Perennial","","","","","","","",""
"CREPI","","Crepis","","","","","","","","",""
"CRCA3","","Crepis capillaris","Annual, Biennial","","","","","","","",""
"CRNI2","","Crepis nicaeensis","Annual","","","","","","","",""
"CRPU3","","Crepis pulchra","Annual","","","","","","","",""
"CRTE3","","Crepis tectorum","Annual","","","","","","","",""
"CROTA","","Crotalaria","","","","","","","","",""
"CRPU4","","Crotalaria pumila","Annual, Perennial","","","","","","","",""
"CRRO5","","Crotalaria rotundifolia","Perennial","","","","","","","",""
"CRSA4","","Crotalaria sagittalis","Annual, Perennial","","","","","","","",""
"CROTO","","Croton","","","","","","","","",""
"CRBO4","","Croton bonplandianus","Annual","","","","","","","",""
"CRCA6","","Croton capitatus","Annual","","","","","","","",""
"CRCAC2","","Croton capitatus var. capitatus","Annual","","","","","","","",""
"CRGL2","","Croton glandulosus","Annual","","","","","","","",""
"CRGLS","","Croton glandulosus var. septentrionalis","Annual","","","","","","","",""
"CRMI8","","Croton michauxii","Annual","","","","","","","",""
"CRMIE","","Croton michauxii var. ellipticus","Annual","","","","","","","",""
"CRMIM2","","Croton michauxii var. michauxii","Annual","","","","","","","",""
"CRMO6","","Croton monanthogynus","Annual","","","","","","","",""
"CRUCI2","","Cruciata","","","","","","","","",""
"CRPE10","","Cruciata pedemontana","Annual","","","","","","","",""
"CRYPT5","","Cryptotaenia","","","","","","","","",""
"CRCA9","","Cryptotaenia canadensis","Perennial","","","","","","","",""
"CTENO","","Ctenolepis","","","","","","","","",""
"CTCE","","Ctenolepis cerasiformis","Annual","","","","","","","",""
"CUNIL","","Cunila","","","","","","","","",""
"CUOR","","Cunila origanoides","Perennial","","","","","","","",""
"CUPHE","","Cuphea","","","","","","","","",""
"CUVI","","Cuphea viscosissima","Annual","","","","","","","",""
"CUSCU","","Cuscuta","","","","","","","","",""
"CUCO2","","Cuscuta compacta","Perennial","","","","","","","",""
"CUCOC","","Cuscuta compacta var. compacta","Perennial","","","","","","","",""
"CUCO3","","Cuscuta coryli","Perennial","","","","","","","",""
"CUEP2","","Cuscuta epilinum","Perennial","","","","","","","",""
"CUEP","","Cuscuta epithymum","Perennial","","","","","","","",""
"CUGR","","Cuscuta gronovii","Perennial","","","","","","","",""
"CUGRG","","Cuscuta gronovii var. gronovii","Perennial","","","","","","","",""
"CUIN","","Cuscuta indecora","Perennial","","","","","","","",""
"CUINN","","Cuscuta indecora var. neuropetala","Perennial","","","","","","","",""
"CUPE3","","Cuscuta pentagona","Annual, Perennial","","","","","","","",""
"CUPEP2","","Cuscuta pentagona var. pentagona","Perennial","","","","","","","",""
"CUPO","","Cuscuta polygonorum","Perennial","","","","","","","",""
"CURO","","Cuscuta rostrata","Perennial","","","","","","","",""
"CUSU","","Cuscuta suaveolens","Perennial","","","","","","","",""
"CYCLO","","Cycloloma","","","","","","","","",""
"CYAT","","Cycloloma atriplicifolium","Annual","","","","","","","",""
"CYCLO4","","Cyclospermum","","","","","","","","",""
"CYLE7","","Cyclospermum leptophyllum","Annual","","","","","","","",""
"CYDON","","Cydonia","","","","","","","","",""
"CYOB2","","Cydonia oblonga","Perennial","Summer","Green","5.0","6.5","24","60","Intolerant","-23"
"CYMBA","","Cymbalaria","","","","","","","","",""
"CYMU","","Cymbalaria muralis","Annual","","","","","","","",""
"CYMOP3","","Cymophora","","","","","","","","",""
"CYAC7","","Cymophora accedens","Annual","","","","","","","",""
"CYMOP","","Cymophyllus","","","","","","","","",""
"CYFR4","","Cymophyllus fraserianus","Perennial","","","","","","","",""
"CYNAN","","Cynanchum","","","","","","","","",""
"CYLA","","Cynanchum laeve","Perennial","","","","","","","",""
"CYLO11","","Cynanchum louiseae","Perennial","","","","","","","",""
"CYNOD","","Cynodon","","","","","","","","",""
"CYDA","","Cynodon dactylon","Perennial","Spring, Summer, Fall","Green","5.0","8.0","32","100","Intolerant","-8"
"CYNOG","","Cynoglossum","","","","","","","","",""
"CYOF","","Cynoglossum officinale","Biennial","","","","","","","",""
"CYVI","","Cynoglossum virginianum","Perennial","","","","","","","",""
"CYVIV","","Cynoglossum virginianum var. virginianum","Perennial","","","","","","","",""
"CYNOS2","","Cynosurus","","","","","","","","",""
"CYCR","","Cynosurus cristatus","Perennial","","","","","","","",""
"CYEC","","Cynosurus echinatus","Annual","","","","","","","",""
"CYPER","","Cyperus","","","","","","","","",""
"CYAC2","","Cyperus acuminatus","Annual, Perennial","Spring and Summer","Green","4.9","6.8","24","55","Intermediate","-38"
"CYBI6","","Cyperus bipartitus","Annual","Spring, Summer, Fall","Green","4.5","6.5","30","50","Intolerant","32"
"CYCO","","Cyperus compressus","Annual, Perennial","Summer and Fall","Green","5.0","6.5","30","50","Intolerant","37"
"CYCR6","","Cyperus croceus","Perennial","","","","","","","",""
"CYDE2","","Cyperus dentatus","Perennial","","","","","","","",""
"CYDI3","","Cyperus diandrus","Annual","","","","","","","",""
"CYDI4","","Cyperus difformis","Annual","","","","","","","",""
"CYEC2","","Cyperus echinatus","Perennial","","","","","","","",""
"CYER2","","Cyperus erythrorhizos","Annual, Perennial","Summer and Fall","Dark Green","5.0","6.5","14","50","Intolerant","37"
"CYES","","Cyperus esculentus","Perennial","Summer and Fall","Green","5.0","7.0","14","55","Intolerant","42"
"CYESL","","Cyperus esculentus var. leptostachyus","Perennial","","","","","","","",""
"CYESS","","Cyperus esculentus var. sativus","Perennial","","","","","","","",""
"CYFI","","Cyperus filicinus","Annual, Perennial","","","","","","","",""
"CYFL","","Cyperus flavescens","Annual","Summer and Fall","Green","5.0","7.0","24","55","Intolerant","42"
"CYFL5","","Cyperus flavicomus","Annual","","","","","","","",""
"CYFU3","","Cyperus fuscus","Annual","","","","","","","",""
"CYGR2","","Cyperus grayi","Perennial","","","","","","","",""
"CYHO","","Cyperus houghtonii","Perennial","","","","","","","",""
"CYHY","","Cyperus hystricinus","Perennial","","","","","","","",""
"CYIR","","Cyperus iria","Annual","","","","","","","",""
"CYLA3","","Cyperus lancastriensis","Perennial","Summer and Fall","Green","5.0","7.0","32","55","Intolerant","7"
"CYLU2","","Cyperus lupulinus","Perennial","","","","","","","",""
"CYLUL","","Cyperus lupulinus ssp. lupulinus","Perennial","","","","","","","",""
"CYLUM","","Cyperus lupulinus ssp. macilentus","Perennial","","","","","","","",""
"CYOD","","Cyperus odoratus","Annual, Perennial","Summer and Fall","Green","5.0","8.3","18","55","Intolerant","42"
"CYPL3","","Cyperus plukenetii","Perennial","","","","","","","",""
"CYPO","","Cyperus polystachyos","Annual, Perennial","Spring and Fall","Green","4.5","6.5","32","55","Intolerant","47"
"CYPOT","","Cyperus polystachyos var. texensis","Annual, Perennial","","","","","","","",""
"CYPS","","Cyperus pseudovegetus","Perennial","Spring, Summer, Fall","Green","4.6","6.8","30","55","Intolerant","7"
"CYRE3","","Cyperus refractus","Perennial","","","","","","","",""
"CYRE4","","Cyperus retrofractus","Perennial","","","","","","","",""
"CYRE5","","Cyperus retrorsus","Perennial","","","","","","","",""
"CYRER2","","Cyperus retrorsus var. retrorsus","Perennial","","","","","","","",""
"CYRO","","Cyperus rotundus","Perennial","","","","","","","",""
"CYSQ","","Cyperus squarrosus","Annual","","","","","","","",""
"CYST","","Cyperus strigosus","Perennial","Spring","Green","6.4","7.0","16","60","Intolerant","-33"
"CYPRI","","Cypripedium","","","","","","","","",""
"CYAC3","","Cypripedium acaule","Perennial","","","","","","","",""
"CYCA5","","Cypripedium candidum","Perennial","","","","","","","",""
"CYPA19","","Cypripedium parviflorum","Perennial","","","","","","","",""
"CYPAP4","","Cypripedium parviflorum var. parviflorum","Perennial","","","","","","","",""
"CYPAP3","","Cypripedium parviflorum var. pubescens","Perennial","","","","","","","",""
"CYRE6","","Cypripedium reginae","Perennial","","","","","","","",""
"CYSTO","","Cystopteris","","","","","","","","",""
"CYBU3","","Cystopteris bulbifera","Perennial","","","","","","","",""
"CYPR4","","Cystopteris protrusa","Perennial","","","","","","","",""
"CYTE3","","Cystopteris tennesseensis","Perennial","","","","","","","",""
"CYTE7","","Cystopteris tenuis","Perennial","","","","","","","",""
"CYTIS","","Cytisus","","","","","","","","",""
"CYSC4","","Cytisus scoparius","Perennial","Spring and Summer","Green","5.5","7.0","30","60","Intolerant","-13"
"CYSCS2","","Cytisus scoparius var. scoparius","Perennial","","","","","","","",""
"DACTY","","Dactylis","","","","","","","","",""
"DAGL","","Dactylis glomerata","Perennial","Spring and Fall","Green","5.0","7.5","32","65","Tolerant","-33"
"DAGLG","","Dactylis glomerata ssp. glomerata","Perennial","","","","","","","",""
"DACTY2","","Dactyloctenium","","","","","","","","",""
"DAAE","","Dactyloctenium aegyptium","Annual","","","","","","","",""
"DAGE","","Dactyloctenium germinatum","Perennial","","","","","","","",""
"DACTY3","","Dactylorhiza","","","","","","","","",""
"DAVI6","","Dactylorhiza viridis","Perennial","","","","","","","",""
"DALEA","","Dalea","","","","","","","","",""
"DABR","","Dalea brachystachya","Annual, Biennial","","","","","","","",""
"DACA9","","Dalea carthagenensis","Perennial","","","","","","","",""
"DACAF","","Dalea carthagenensis var. floridana","Perennial","","","","","","","",""
"DALIB","","Dalibarda","","","","","","","","",""
"DARE","","Dalibarda repens","Perennial","","","","","","","",""
"DANTH","","Danthonia","","","","","","","","",""
"DACO","","Danthonia compressa","Perennial","Spring","Green","4.8","7.0","32","55","Tolerant","-33"
"DASE2","","Danthonia sericea","Perennial","","","","","","","",""
"DASP2","","Danthonia spicata","Perennial","","","","","","","",""
"DASYO","","Dasyochloa","","","","","","","","",""
"DAPU7","","Dasyochloa pulchella","Perennial","","","","","","","",""
"DATUR","","Datura","","","","","","","","",""
"DAIN2","","Datura inoxia","Annual, Perennial","","","","","","","",""
"DAQU","","Datura quercifolia","Annual","","","","","","","",""
"DAST","","Datura stramonium","Annual","","","","","","","",""
"DAWR2","","Datura wrightii","Annual, Perennial","","","","","","","",""
"DAUCU","","Daucus","","","","","","","","",""
"DACA6","","Daucus carota","Biennial","","","","","","","",""
"DECOD","","Decodon","","","","","","","","",""
"DEVE","","Decodon verticillatus","Perennial","Summer and Fall","Green","4.9","8.6","30","60","Intermediate","-23"
"DELPH","","Delphinium","","","","","","","","",""
"DEEX","","Delphinium exaltatum","Perennial","","","","","","","",""
"DETR","","Delphinium tricorne","Perennial","","","","","","","",""
"DENNS","","Dennstaedtia","","","","","","","","",""
"DEPU2","","Dennstaedtia punctilobula","Perennial","","","","","","","",""
"DEPAR","","Deparia","","","","","","","","",""
"DEAC4","","Deparia acrostichoides","Perennial","","","","","","","",""
"DESCH","","Deschampsia","","","","","","","","",""
"DECE","","Deschampsia cespitosa","Perennial","","","","","","","",""
"DEFL","","Deschampsia flexuosa","Perennial","Spring and Summer","Green","4.8","6.8","32","55","Tolerant","-38"
"DEFLF","","Deschampsia flexuosa var. flexuosa","Perennial","","","","","","","",""
"DESCU","","Descurainia","","","","","","","","",""
"DEPI","","Descurainia pinnata","Annual, Biennial, Perennial","","","","","","","",""
"DEPIB","","Descurainia pinnata ssp. brachycarpa","Annual, Biennial","","","","","","","",""
"DESO2","","Descurainia sophia","Annual, Biennial","","","","","","","",""
"DESMA","","Desmanthus","","","","","","","","",""
"DEIL","","Desmanthus illinoensis","Perennial","Spring and Summer","Green","5.0","8.0","16","24","Intolerant","-18"
"DESMO","","Desmodium","","","","","","","","",""
"DECA7","","Desmodium canadense","Perennial","","","","","","","",""
"DECA8","","Desmodium canescens","Perennial","","","","","","","",""
"DECI","","Desmodium ciliare","Perennial","","","","","","","",""
"DECIC","","Desmodium ciliare var. ciliare","Perennial","","","","","","","",""
"DECU","","Desmodium cuspidatum","Perennial","","","","","","","",""
"DECUC","","Desmodium cuspidatum var. cuspidatum","Perennial","","","","","","","",""
"DEFE","","Desmodium fernaldii","Perennial","","","","","","","",""
"DEGL4","","Desmodium glabellum","Perennial","","","","","","","",""
"DEGL5","","Desmodium glutinosum","Perennial","","","","","","","",""
"DEHU3","","Desmodium humifusum","Perennial","","","","","","","",""
"DELA2","","Desmodium laevigatum","Perennial","","","","","","","",""
"DELI2","","Desmodium lineatum","Perennial","","","","","","","",""
"DEMA2","","Desmodium marilandicum","Perennial","","","","","","","",""
"DENU4","","Desmodium nudiflorum","Perennial","","","","","","","",""
"DENU5","","Desmodium nuttallii","Perennial","","","","","","","",""
"DEOB5","","Desmodium obtusum","Perennial","","","","","","","",""
"DEOC2","","Desmodium ochroleucum","Perennial","","","","","","","",""
"DEPA6","","Desmodium paniculatum","Perennial","Spring and Summer","Green","6.0","7.0","45","90","Intermediate","-13"
"DEPAP2","","Desmodium paniculatum var. paniculatum","Perennial","","","","","","","",""
"DEPA7","","Desmodium pauciflorum","Perennial","","","","","","","",""
"DEPE80","","Desmodium perplexum","Perennial","Summer","Green","5.6","7.0","20","60","Intermediate","-33"
"DERO3","","Desmodium rotundifolium","Perennial","","","","","","","",""
"DESE","","Desmodium sessilifolium","Perennial","","","","","","","",""
"DEST2","","Desmodium strictum","Perennial","","","","","","","",""
"DETE3","","Desmodium tenuifolium","Perennial","","","","","","","",""
"DEVI4","","Desmodium viridiflorum","Perennial","","","","","","","",""
"DEUTZ","","Deutzia","","","","","","","","",""
"DEGR3","","Deutzia gracilis","Perennial","","","","","","","",""
"DESC4","","Deutzia scabra","Perennial","","","","","","","",""
"DIANT","","Dianthus","","","","","","","","",""
"DIAR","","Dianthus armeria","Annual, Biennial","","","","","","","",""
"DIBA","","Dianthus barbatus","Perennial","","","","","","","",""
"DIDE","","Dianthus deltoides","Perennial","","","","","","","",""
"DIPL","","Dianthus plumarius","Perennial","","","","","","","",""
"DIARR","","Diarrhena","","","","","","","","",""
"DIAM","","Diarrhena americana","Perennial","","","","","","","",""
"DIOB3","","Diarrhena obovata","Perennial","","","","","","","",""
"DICEN","","Dicentra","","","","","","","","",""
"DICA","","Dicentra canadensis","Perennial","","","","","","","",""
"DICU","","Dicentra cucullaria","Perennial","","","","","","","",""
"DIEX","","Dicentra eximia","Perennial","","","","","","","",""
"DICHA2","","Dichanthelium","","","","","","","","",""
"DIAC","","Dichanthelium aciculare","Perennial","Summer","Gray-Green","4.0","6.5","30","60","Intermediate","2"
"DIAC2","","Dichanthelium acuminatum","Perennial","","","","","","","",""
"DIACA","","Dichanthelium acuminatum var. acuminatum","Perennial","","","","","","","",""
"DIACF","","Dichanthelium acuminatum var. fasciculatum","Perennial","","","","","","","",""
"DIACL","","Dichanthelium acuminatum var. lindheimeri","Perennial","","","","","","","",""
"DIBO","","Dichanthelium boreale","Perennial","","","","","","","",""
"DIBO2","","Dichanthelium boscii","Perennial","","","","","","","",""
"DICL","","Dichanthelium clandestinum","Perennial","Spring and Summer","Green","4.0","7.5","32","65","Intolerant","-33"
"DICO2","","Dichanthelium commutatum","Perennial","Summer","Green","4.0","6.5","30","60","Intermediate","-28"
"DIDE4","","Dichanthelium depauperatum","Perennial","","","","","","","",""
"DIDI6","","Dichanthelium dichotomum","Perennial","","","","","","","",""
"DIDID","","Dichanthelium dichotomum var. dichotomum","Perennial","","","","","","","",""
"DIDIE","","Dichanthelium dichotomum var. ensifolium","Perennial","","","","","","","",""
"DIDIT","","Dichanthelium dichotomum var. tenue","Perennial","","","","","","","",""
"DILA8","","Dichanthelium latifolium","Perennial","Summer","Green","4.0","6.5","20","60","Intermediate","-43"
"DILA9","","Dichanthelium laxiflorum","Perennial","","","","","","","",""
"DILE4","","Dichanthelium leucothrix","Perennial","","","","","","","",""
"DILI2","","Dichanthelium linearifolium","Perennial","","","","","","","",""
"DILO4","","Dichanthelium longiligulatum","Perennial","","","","","","","",""
"DIME2","","Dichanthelium meridionale","Perennial","","","","","","","",""
"DIOL","","Dichanthelium oligosanthes","Perennial","","","","","","","",""
"DIOLO","","Dichanthelium oligosanthes var. oligosanthes","Perennial","","","","","","","",""
"DIOLS","","Dichanthelium oligosanthes var. scribnerianum","Perennial","","","","","","","",""
"DIOV","","Dichanthelium ovale","Perennial","Spring","Green","4.0","6.5","35","50","Tolerant","-13"
"DIOVA","","Dichanthelium ovale var. addisonii","Perennial","","","","","","","",""
"DIOVO","","Dichanthelium ovale var. ovale","Perennial","","","","","","","",""
"DIRA","","Dichanthelium ravenelii","Perennial","","","","","","","",""
"DISA5","","Dichanthelium sabulorum","Perennial","","","","","","","",""
"DISAP","","Dichanthelium sabulorum var. patulum","Perennial","","","","","","","",""
"DISAT","","Dichanthelium sabulorum var. thinium","Perennial","","","","","","","",""
"DISC2","","Dichanthelium scabriusculum","Perennial","Summer","Green","4.0","7.0","40","65","Intermediate","-3"
"DISC3","","Dichanthelium scoparium","Perennial","Summer","Gray-Green","4.5","7.5","30","55","Tolerant","-38"
"DISP2","","Dichanthelium sphaerocarpon","Perennial","","","","","","","",""
"DISPI","","Dichanthelium sphaerocarpon var. isophyllum","Perennial","","","","","","","",""
"DISPS3","","Dichanthelium sphaerocarpon var. sphaerocarpon","Perennial","","","","","","","",""
"DISP4","","Dichanthelium spretum","Perennial","","","","","","","",""
"DIVI7","","Dichanthelium villosissimum","Perennial","","","","","","","",""
"DIVIV","","Dichanthelium villosissimum var. villosissimum","Perennial","","","","","","","",""
"DIWR3","","Dichanthelium wrightianum","Perennial","","","","","","","",""
"DICHO","","Dichondra","","","","","","","","",""
"DICA3","","Dichondra carolinensis","Perennial","","","","","","","",""
"DIMI","","Dichondra micrantha","Perennial","","","","","","","",""
"DIERV","","Diervilla","","","","","","","","",""
"DILO","","Diervilla lonicera","Perennial","Spring","Dark Green","4.8","7.0","32","50","Intermediate","-23"
"DIGIT","","Digitalis","","","","","","","","",""
"DILA3","","Digitalis lanata","Perennial","","","","","","","",""
"DILU","","Digitalis lutea","Perennial","","","","","","","",""
"DIPU","","Digitalis purpurea","Biennial","Spring and Summer","Dark Green","5.5","7.0","40","60","Intolerant","-13"
"DIPUP2","","Digitalis purpurea ssp. purpurea","Biennial","","","","","","","",""
"DIGIT2","","Digitaria","","","","","","","","",""
"DICI","","Digitaria ciliaris","Annual","","","","","","","",""
"DICO6","","Digitaria cognata","Perennial","","","","","","","",""
"DIFI","","Digitaria filiformis","Annual, Perennial","","","","","","","",""
"DIIS","","Digitaria ischaemum","Annual","","","","","","","",""
"DILO2","","Digitaria longiflora","Annual","","","","","","","",""
"DISA","","Digitaria sanguinalis","Annual","","","","","","","",""
"DIVI","","Digitaria villosa","Perennial","","","","","","","",""
"DINEB","","Dinebra","","","","","","","","",""
"DIRE7","","Dinebra retroflexa","Annual","","","","","","","",""
"DIODI","","Diodia","","","","","","","","",""
"DITE2","","Diodia teres","Annual, Perennial","","","","","","","",""
"DITEH","","Diodia teres var. hystricina","Annual, Perennial","","","","","","","",""
"DITET","","Diodia teres var. teres","Annual, Perennial","","","","","","","",""
"DIVI3","","Diodia virginiana","Annual, Perennial","","","","","","","",""
"DIVIV2","","Diodia virginiana var. virginiana","Annual, Perennial","","","","","","","",""
"DIOSC","","Dioscorea","","","","","","","","",""
"DIOP","","Dioscorea oppositifolia","Perennial","","","","","","","",""
"DIQU","","Dioscorea quaternata","Perennial","","","","","","","",""
"DIVI4","","Dioscorea villosa","Perennial","","","","","","","",""
"DIOSP","","Diospyros","","","","","","","","",""
"DIVI5","","Diospyros virginiana","Perennial","Spring and Summer","Dark Green","4.7","7.5","30","80","Tolerant","-21"
"DIPLA2","","Diplazium","","","","","","","","",""
"DIPY","","Diplazium pycnocarpon","Perennial","","","","","","","",""
"DIPLO","","Diplotaxis","","","","","","","","",""
"DISI8","","Diplotaxis siifolia","Annual","","","","","","","",""
"DITE4","","Diplotaxis tenuifolia","Perennial","","","","","","","",""
"DIPSA","","Dipsacus","","","","","","","","",""
"DIFU2","","Dipsacus fullonum","Biennial","","","","","","","",""
"DILA4","","Dipsacus laciniatus","Biennial","","","","","","","",""
"DIRCA","","Dirca","","","","","","","","",""
"DIPA9","","Dirca palustris","Perennial","","","","","","","",""
"DISTI","","Distichlis","","","","","","","","",""
"DISP","","Distichlis spicata","Perennial","Spring, Summer, Fall","Green","6.4","10.0","5","70","Intolerant","-35"
"DODEC","","Dodecatheon","","","","","","","","",""
"DOME","","Dodecatheon meadia","Perennial","Spring","Green","4.5","7.5","30","55","Tolerant","-38"
"DOMEM3","","Dodecatheon meadia ssp. meadia","Perennial","","","","","","","",""
"DOELL2","","Doellingeria","","","","","","","","",""
"DOIN2","","Doellingeria infirma","Perennial","","","","","","","",""
"DOSE","","Doellingeria sericocarpoides","Perennial","","","","","","","",""
"DOUM2","","Doellingeria umbellata","Perennial","","","","","","","",""
"DOUMU","","Doellingeria umbellata var. umbellata","Perennial","","","","","","","",""
"DRABA","","Draba","","","","","","","","",""
"DRRA","","Draba ramosissima","Perennial","","","","","","","",""
"DRVE2","","Draba verna","Annual","","","","","","","",""
"DRACO","","Dracocephalum","","","","","","","","",""
"DRPA2","","Dracocephalum parviflorum","Annual, Biennial, Perennial","","","","","","","",""
"DROSE","","Drosera","","","","","","","","",""
"DRCA2","","Drosera capillaris","Perennial","","","","","","","",""
"DRFI","","Drosera filiformis","Perennial","","","","","","","",""
"DRIN3","","Drosera intermedia","Perennial","","","","","","","",""
"DRRO","","Drosera rotundifolia","Perennial","","","","","","","",""
"DRROR","","Drosera rotundifolia var. rotundifolia","Perennial","","","","","","","",""
"DRYOP","","Dryopteris","","","","","","","","",""
"DRAU5","","Dryopteris ×australis","Perennial","","","","","","","",""
"DRBO2","","Dryopteris ×boottii","Perennial","","","","","","","",""
"DRBU","","Dryopteris ×burgessii","Perennial","","","","","","","",""
"DRCA3","","Dryopteris campyloptera","Perennial","","","","","","","",""
"DRCA11","","Dryopteris carthusiana","Perennial","","","","","","","",""
"DRCE","","Dryopteris celsa","Perennial","","","","","","","",""
"DRCR4","","Dryopteris cristata","Perennial","Spring and Summer","Dark Green","3.5","6.5","15","55","Tolerant","-33"
"DRGO","","Dryopteris goldiana","Perennial","","","","","","","",""
"DRIN5","","Dryopteris intermedia","Perennial","","","","","","","",""
"DRLE2","","Dryopteris ×leedsii","Perennial","","","","","","","",""
"DRMA4","","Dryopteris marginalis","Perennial","","","","","","","",""
"DRNE2","","Dryopteris ×neowherryi","Perennial","","","","","","","",""
"DRSE2","","Dryopteris ×separabilis","Perennial","","","","","","","",""
"DRSL","","Dryopteris ×slossoniae","Perennial","","","","","","","",""
"DRTR","","Dryopteris ×triploidea","Perennial","","","","","","","",""
"DRUL2","","Dryopteris ×uliginosa","Perennial","","","","","","","",""
"DUCHE","","Duchesnea","","","","","","","","",""
"DUIN","","Duchesnea indica","Perennial","","","","","","","",""
"DULIC","","Dulichium","","","","","","","","",""
"DUAR3","","Dulichium arundinaceum","Perennial","Summer","Dark Green","4.7","7.5","16","60","Intermediate","-38"
"DUARA","","Dulichium arundinaceum var. arundinaceum","Perennial","","","","","","","",""
"DYSPH","","Dysphania","","","","","","","","",""
"DYAM","","Dysphania ambrosioides","Annual","","","","","","","",""
"DYAN2","","Dysphania anthelmintica","Annual","","","","","","","",""
"DYBO","","Dysphania botrys","Annual","","","","","","","",""
"DYPL","","Dysphania plantaginella","Annual","","","","","","","",""
"DYSSO","","Dyssodia","","","","","","","","",""
"DYPA","","Dyssodia papposa","Annual","","","","","","","",""
"ECHIN","","Echinacea","","","","","","","","",""
"ECPA","","Echinacea pallida","Perennial","Spring and Summer","Green","6.5","7.2","14","40","Intolerant","-33"
"ECPU","","Echinacea purpurea","Perennial","Spring and Summer","Green","6.5","7.2","14","40","Intolerant","-33"
"ECHIN4","","Echinochloa","","","","","","","","",""
"ECCO2","","Echinochloa colona","Annual","Spring","Green","4.0","8.5","12","60","Intolerant","37"
"ECCR","","Echinochloa crus-galli","Annual","","","","","","","",""
"ECCR2","","Echinochloa crus-pavonis","Annual","","","","","","","",""
"ECCRM","","Echinochloa crus-pavonis var. macera","Annual","","","","","","","",""
"ECFR","","Echinochloa frumentacea","Annual","Spring","Green","4.7","7.4","18","60","Intolerant","37"
"ECMU2","","Echinochloa muricata","Annual","","","","","","","",""
"ECMUM","","Echinochloa muricata var. microstachya","Annual","","","","","","","",""
"ECMUM2","","Echinochloa muricata var. muricata","Annual","","","","","","","",""
"ECWA","","Echinochloa walteri","Annual","Summer","Green","3.8","9.4","28","50","Intolerant","32"
"ECHIN5","","Echinocystis","","","","","","","","",""
"ECLO","","Echinocystis lobata","Annual","","","","","","","",""
"ECHIN6","","Echinodorus","","","","","","","","",""
"ECCO3","","Echinodorus cordifolius","Perennial","","","","","","","",""
"ECHIN8","","Echinops","","","","","","","","",""
"ECSP","","Echinops sphaerocephalus","Perennial","","","","","","","",""
"ECHIU","","Echium","","","","","","","","",""
"ECIT","","Echium italicum","Biennial","","","","","","","",""
"ECVU","","Echium vulgare","Annual, Biennial, Perennial","","","","","","","",""
"ECLIP","","Eclipta","","","","","","","","",""
"ECPR","","Eclipta prostrata","Annual, Perennial","Summer","Green","5.2","7.9","35","50","Intermediate","32"
"EGERI","","Egeria","","","","","","","","",""
"EGDE","","Egeria densa","Perennial","","","","","","","",""
"ELAEA","","Elaeagnus","","","","","","","","",""
"ELAN","","Elaeagnus angustifolia","Perennial","Spring and Summer","White-Gray","6.0","9.5","12","40","Intolerant","-38"
"ELCO","","Elaeagnus commutata","Perennial","Spring and Summer","White-Gray","5.0","7.9","16","45","Intolerant","-38"
"ELMU","","Elaeagnus multiflora","Perennial","","","","","","","",""
"ELUM","","Elaeagnus umbellata","Perennial","Spring and Summer","White-Gray","5.0","7.5","28","45","Intolerant","-23"
"ELUMP","","Elaeagnus umbellata var. parvifolia","Perennial","","","","","","","",""
"ELATI","","Elatine","","","","","","","","",""
"ELAM3","","Elatine americana","Annual","","","","","","","",""
"ELMI","","Elatine minima","Annual","","","","","","","",""
"ELEOC","","Eleocharis","","","","","","","","",""
"ELAC","","Eleocharis acicularis","Annual, Perennial","Spring, Summer, Fall","","4.5","7.0","14","50","Intolerant","-23"
"ELACA","","Eleocharis acicularis var. acicularis","Annual, Perennial","","","","","","","",""
"ELAL","","Eleocharis albida","Perennial","","","","","","","",""
"ELCO2","","Eleocharis compressa","Perennial","Spring and Summer","","5.4","7.0","24","60","Intolerant","-33"
"ELCOC2","","Eleocharis compressa var. compressa","Perennial","","","","","","","",""
"ELEN","","Eleocharis engelmannii","Annual","","","","","","","",""
"ELEQ","","Eleocharis equisetoides","Perennial","Summer and Fall","","5.0","7.0","35","60","Intolerant","-33"
"ELER","","Eleocharis erythropoda","Perennial","","","","","","","",""
"ELFA","","Eleocharis fallax","Perennial","","","","","","","",""
"ELFL","","Eleocharis flavescens","Perennial","","","","","","","",""
"ELFLF","","Eleocharis flavescens var. flavescens","Perennial","","","","","","","",""
"ELGE","","Eleocharis geniculata","Annual","","","","","","","",""
"ELHA2","","Eleocharis halophila","Perennial","","","","","","","",""
"ELIN","","Eleocharis intermedia","Perennial","","","","","","","",""
