Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag,,
figure,Here's an example of a scatter plot.,NA,NA,NA,NA,mod1_scatter.R,new,NA,"continous, discrete, categorical",,
mult_question,"Of the three variables discussed previously: continuous, discrete, and categorical, which do you think would be most appropriate to use in a scatter plot?",Continuous; Discrete; Categorical,Continuous,word= Continuous,Think about which of the three variable types has an indefinite number of possible values.,NA,NA,NA,"continous, discrete, categorical",,
text,"To conclude this lesson, you are going to revisit all of the different types of plots I have discussed. After each plot appears, try your best to classify it. You will be amazed to see how much you have learned already!",NA,NA,NA,NA,NA,NA,NA,plot classification,,
figure,Here's your first plot.,NA,NA,NA,NA,mod1_bargraph.R,new,NA,plot classification,,
mult_question,Which type of plot is shown here?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Bar graph,word= Bar graph,This type of graph is used to display a single categorical variable.,NA,NA,NA,plot classification,,
figure,Here's another.,NA,NA,NA,NA,mod1_scatter.R,new,NA,plot classification,,
mult_question,Which type of plot is shown here?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Scatter plot,word= Scatter plot,This type of plot is used to show the relationship between two continuous variables.,NA,NA,NA,plot classification,,
figure,And another.,NA,NA,NA,NA,mod1_dotplot.R,new,NA,plot classification,,
mult_question,Which type of plot is shown here?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Dot plot,word= Dot plot,This type of plot is used to visually convey the values of one variable using only one axis.,NA,NA,NA,plot classification,,
figure,Just a few more.,NA,NA,NA,NA,mod1_histogram.R,new,NA,plot classification,,
mult_question,Which type of plot is shown here?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Histogram,word= Histogram,This type of plot partitions the values of your data into several bins.,NA,NA,NA,plot classification,,
figure,Keep going.,NA,NA,NA,NA,mod1_boxplot.R,new,NA,plot classification,,
mult_question,Which type of plot is shown here?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Box plot,word= Box plot,This type of plot is used to summarize the main descriptive statistics of a particular data set.,NA,NA,NA,plot classification,,
figure,Last one!,NA,NA,NA,NA,mod1_stem.R,new,NA,plot classification,,
mult_question,Which type of plot is shown above?,Dot plot; Histogram; Stem-and-leaf plot; Bar graph; Box plot; Scatter plot,Stem-and-leaf plot,word= Stem-and-leaf plot,This type of plot organizes numerical data in order of decimal place value.,NA,NA,NA,plot classification,,
text,CONGRATULATIONS! You've completed your first lesson! I look forward to having you back for many more in the future.,NA,NA,NA,NA,NA,NA,NA,NA,,
